id,角色名稱,技能名稱,效果,使用次數
1,沃倫◆巴菲特,長期投資,存入1顆五色寶石代幣（不可存金幣），下次輪到自己時強制取回3顆同色寶石（每局2次）,限2次
2,埃龍◆馬斯克,工作狂,本回合可同時進行拿寶石＋買牌兩個動作,限1次
3,雷曼兄弟,槓桿套利,自選2顆寶石或金幣代幣歸還銀行，換取3分,限1次
4,黃仁勳,你相信光嗎?,購買白色鑽石卡片時額外加1分（每局最多2次）,被動技（限2次）
5,山姆◆奧特曼,搖錢樹,從聲望超過3分的玩家手裡隨機奪取一顆寶石代幣,限3次
6,查理◆芒格,預言家,同時查看三個牌堆各頂部1張牌，可免費預留其中1張並取得1枚金幣,限1次
7,中本聰,財富重分配,將自身全部寶石與指定玩家互換，但交換對象寶石/金幣總數不得超過4顆,限1次
8,喬治◆索羅斯,做空狙擊,指定一名對手，隨機做空其1顆五色寶石並歸還寶石庫,限2次
9,周子瑜,紫瑜我愛你,購買黑色寶石卡片時額外加1分（每局最多2次）,被動技（限2次）
10,周杰倫,你算什麼藍人,購買藍色藍寶石卡片時額外加1分（每局最多2次）,被動技（限2次）
11,胡漢龑,開心、開心、開心,購買紅色紅寶石卡片時額外加1分（每局最多2次）,被動技（限2次）
12,威爾◆史密斯,帽子歪了，請戴正,購買綠色祖母綠卡片時額外加1分（每局最多2次）,被動技（限2次）
13,唐納◆特朗普,TACO交易,重新洗牌：將場上所有等級的牌全部收回牌堆重洗，重新發牌，並獲得2枚金幣,限1次
14,迦納共和國離婚辦事處書記官,你還愛我嗎?,自身至少1顆且對方至少3顆寶石/金幣才可發動；先預設答案問一位玩家，答中對方偷你1顆，答錯你偷對方最多3顆,限2次
